Unnamed: 0,English Name,Chinese Name,English Movie Genre,Chinese Movie Genre,BVID,Movie Runtime/s,likes,saves,coins,views
71,Harry Potter And The Prisoner Of Azkaban,哈利·波特与阿兹卡班的囚徒,Drama/Fantasy/Adventure/NovelAdaptation,剧情/奇幻/冒险/小说改,BV1r4411r7Vr,8504,237043,39335,115511,32461177
72,Minions,小黄人大眼萌,Comedy/Animation,喜剧/动画,BV1rB4y167Xh,5458,182409,25397,17680,18975392
73,Violet Evergarden: Eternity And The Auto Memories Doll,紫罗兰永恒花园 外传：永远与自动手记人偶,Drama/Animation/NovelAdaptation,剧情/动画/小说改,BV1rE411W7m6,5442,447826,82211,504527,31139493
74,One Second,一秒钟,Drama,剧情,BV1rK411g7zs,6234,71398,11704,21515,27800481
75,Sword Art Online Progressive: Aria Of A Starless Night,刀剑神域进击篇:无星之夜,Action,动作,BV1rk4y1L7uP,5820,182562,66840,88369,26527929
76,Catch Me If You Can,猫鼠游戏,Drama/Biography/Crime,剧情/传记/犯罪,BV1rW411S7Gy,8446,250035,78241,111178,22364992
77,Wolf Warrior,战狼,Action/War,动作/战争,BV1RW411t7Kv,5406,144589,17085,35543,24805400
78,Brotherhood Of Blades,绣春刀,Drama/Action,剧情/动作,BV1RW411t7PQ,6428,129818,18789,52186,20317664
79,Hidden Blade,无名,Drama/History/Suspense,剧情/历史/悬疑,BV1Sc411W7tf,7708,84460,37104,47254,18261180
80,Endless Journey,三大队,Adventure/Animation/Comedy/Fantasy,冒险/动画/喜剧/奇幻,BV1sF4m13725,7980,162436,44666,97289,21092237
81,Pegasus 2,飞驰人生2,Drama/Comedy,剧情/喜剧,BV1SJ4m1J76C,7262,369256,85767,217079,39082332
82,Evangelion: 2.22 You Can (Not) Advance,福音战士新剧场版：破,Original/Sci-Fi/Mecha/Battle,原创/科幻/机战/战斗,BV1sx411V7qA,6744,221375,38629,123507,27060931
